viewed_technique;belt_prog;uv;category;sub_category;position;technique;viewed_date;revision_date;note;official_book_ref_page;official_prog_ref_2025
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;BASES;Les distances;De face;Travailler les distances (courtes/longues), à distance de poing, à distance de pied, hors distances.;;;;28;UV1 - NA
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de tête;De face;Coup de tête;;;;31;UV1 - a)
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De face;Circulaire;;;;32;UV1 - b) 1.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De face;Remontant (uppercut);;;;33;UV1 - b) 1.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De face;Descendant;;;;34;UV1 - b) 1.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De côté;Latéral;;;;35;UV1 - b) 2.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De côté;Circulaire (bas opposé);;;;36;UV1 - b) 2.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De côté;Remontant;;;;37;UV1 - b) 2.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De dos;Circulaire;;;;38;UV1 - b) 3.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De dos;Direct au corps;;;;40;UV1 - b) 3.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de coude;De dos;Remontant;;;;41;UV1 - b) 3.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de poing;De face;Coup direct de poing, de paume, en pique. Sur place, en avançant et en reculant;;;;42;UV1 - c)
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Crochet;De face;Crochet;;;;49;UV1 - d)
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de marteau;De côté;Coups du marteau de côté;;;;50;UV1 - e)
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de marteau;De dos;Coups du marteau de dos;;;;50;UV1 - e)
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de genou;De face;Direct;;;Sur place ou en se déplaçant vers la cible dans le même temps.;51;UV1 - f) 1.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de genou;De face;Circulaire;;;Sur place ou en se déplaçant vers la cible dans le même temps.;52;UV1 - f) 2.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de pied;De face;Direct;;;Sur place ou en se déplaçant vers la cible dans le même temps.;53;UV1 - f) 3.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de pied;De face;Circulaire;;;Sur place ou en se déplaçant vers la cible dans le même temps.;56;UV1 - f) 4.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de pied;De face;De côté (Side kick);;;Sur place ou en se déplaçant vers la cible dans le même temps.;58;UV1 - f) 5.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;ATTAQUES;Coup de pied;De dos;Direct arrière;;;Sur place ou en se déplaçant vers la cible dans le même temps.;61;UV1 - f) 6.
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;DÉFENSES;Coup au préalable;De face;Arrêt de l’agresseur qui avance à l'aide d’un direct léger avec la paume et les doigts sans causer de dommages. Sur place, en avançant, en reculant.;;;;63;UV1 - g)
False;01 Jaune;UV 1 - TECHNIQUES EN POSITION NEUTRE;DÉFENSES;Crochet;De face;360° et 360° avec contre simultané.;;;;66;UV1 - h)
